allele_name,pipeline_names,similar_names
IGHV4-4M7V*05, IGHV4-4M7V*05, 
IGHV4-4M7V*11, IGHV4-4M7V*11, 
IGHV4-4M7V*13, IGHV4-4M7V*13, 
IGHV4-4M7V*15, IGHV4-4M7V*15, 
IGHV4-4M7V*16, IGHV4-4M7V*16, 
IGHV4-4M7V*17, IGHV4-4M7V*17, 
IGHV4-4M7V*18, IGHV4-4M7V*18, 
IGHV4-4M7V*19, IGHV4-4M7V*19, 
IGHV4-4MLZ*01, IGHV4-4MLZ*01, 
IGHV4-4MLZ*02, IGHV4-4MLZ*02, 
IGHV4-4NGE*01, IGHV4-4NGE*01, 
IGHV4-4NGE*02, IGHV4-4NGE*02, 
IGHV4-4NGE*03, IGHV4-4NGE*03, 
IGHV4-4NGE*04, IGHV4-4NGE*04, 
IGHV4-4NGE*05, IGHV4-4NGE*05, 
IGHV4-4NGE*08, IGHV4-4NGE*08, 
IGHV4-4NGE*12, IGHV4-4NGE*12, 
IGHV4-4NGE*15, IGHV4-4NGE*15, 
IGHV4-4NGE*16, IGHV4-4NGE*16, 
IGHV4-4NGE*17, IGHV4-4NGE*17, 
IGHV4-4NGE*18, IGHV4-4NGE*18, 
IGHV4-4NGE*19, IGHV4-4NGE*19, 
IGHV4-4NGE*20, IGHV4-4NGE*20, 
IGHV4-4NGE*21, IGHV4-4NGE*21, 
IGHV4-5ARF*03, IGHV4-5ARF*03, 
IGHV4-5ARF*14, IGHV4-5ARF*14, 
IGHV4-5ARF*17, IGHV4-5ARF*17, 
IGHV4-5ARF*21, IGHV4-5ARF*21, 
IGHV4-5ARF*25, IGHV4-5ARF*25, 
IGHV4-5ARF*26, IGHV4-5ARF*26, 
IGHV4-5ARF*27, IGHV4-5ARF*27, 
IGHV4-5ARF*28, IGHV4-5ARF*28, 
IGHV4-5ARF*29, IGHV4-5ARF*29, 
IGHV4-5ARF*30, IGHV4-5ARF*30, 
IGHV4-5ARF*31, IGHV4-5ARF*31, 
IGHV4-5ARF*32, IGHV4-5ARF*32, 
IGHV4-5ARF*33, IGHV4-5ARF*33, 
IGHV4-5ARF*34, IGHV4-5ARF*34, 
IGHV4-5ARF*35, IGHV4-5ARF*35, 
IGHV4-5ARF*36, IGHV4-5ARF*36, 
IGHV4-5ARF*37, IGHV4-5ARF*37, 
IGHV4-5ARF*38, IGHV4-5ARF*38, 
IGHV4-5WKJ*09, IGHV4-5WKJ*09, 
IGHV4-5WKJ*11, IGHV4-5WKJ*11, 
IGHV4-5WKJ*13, IGHV4-5WKJ*13, 
IGHV4-5WKJ*15, IGHV4-5WKJ*15, 
IGHV4-5WKJ*16, IGHV4-5WKJ*16, 
IGHV4-5WKJ*19, IGHV4-5WKJ*19, 
IGHV4-5WKJ*21, IGHV4-5WKJ*21, 
IGHV4-5WKJ*22, IGHV4-5WKJ*22, 
IGHV4-5WKJ*23, IGHV4-5WKJ*23, 
IGHV4-5WKJ*26, IGHV4-5WKJ*26, 
IGHV4-5WKJ*28, IGHV4-5WKJ*28, 
IGHV4-5WKJ*33, IGHV4-5WKJ*33, 
IGHV4-5WKJ*34, IGHV4-5WKJ*34, 
IGHV4-5WKJ*40, IGHV4-5WKJ*40, 
IGHV4-5WKJ*41, IGHV4-5WKJ*41, 
IGHV4-5WKJ*42, IGHV4-5WKJ*42, 
IGHV4-5WKJ*43, IGHV4-5WKJ*43, 
IGHV4-5WKJ*44, IGHV4-5WKJ*44, 
IGHV4-5WKJ*45, IGHV4-5WKJ*45, 
IGHV4-5WKJ*46, IGHV4-5WKJ*46, 
IGHV4-5WKJ*47, IGHV4-5WKJ*47, 
IGHV4-5WKJ*48, IGHV4-5WKJ*48, 
IGHV4-5WKJ*49, IGHV4-5WKJ*49, 
IGHV4-5WKJ*50, IGHV4-5WKJ*50, 
IGHV4-5WKJ*51, IGHV4-5WKJ*51, 
IGHV4-5WKJ*52, IGHV4-5WKJ*52, 
IGHV4-5WKJ*53, IGHV4-5WKJ*53, 
IGHV4-5WKJ*54, IGHV4-5WKJ*54, 
